RowID	TableID	RhymeSegment	page	row_in_source	raw_text	rhyme_raw	OC_RhymeGroup	tones_raw	rhyme_tokens	tone_tokens	rhyme_numbers	source	alignment_issue	notes	image_refs
ROW_P149_T001_p149_r0001	P149_T001		149	1	之 幽 宵 侯 魚 支 脂 微 歌	之 幽 宵 侯 魚 支 脂 微 歌			之 | 幽 | 宵 | 侯 | 魚 | 支 | 脂 | 微 | 歌					"{""cells"": [""陰聲"", ""之"", ""幽"", ""宵"", ""侯"", ""魚"", ""支"", ""脂"", ""微"", ""歌"", """", """"], ""cells_with_img_placeholders"": [""陰聲"", ""之"", ""幽"", ""宵"", ""侯"", ""魚"", ""支"", ""脂"", ""微"", ""歌"", """", """"], ""cell_image_map"": [[], [], [], [], [], [], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P149_T001_p149_r0003	P149_T001		149	3	職 覺 藥 屋 鐸 錫 質 物 月 緝 葉	職 覺 藥 屋 鐸 錫 質 物 月 緝 葉			職 | 覺 | 藥 | 屋 | 鐸 | 錫 | 質 | 物 | 月 | 緝 | 葉					"{""cells"": [""入聲"", ""職"", ""覺"", ""藥"", ""屋"", ""鐸"", ""錫"", ""質"", ""物"", ""月"", ""緝"", ""葉""], ""cells_with_img_placeholders"": [""入聲"", ""職"", ""覺"", ""藥"", ""屋"", ""鐸"", ""錫"", ""質"", ""物"", ""月"", ""緝"", ""葉""], ""cell_image_map"": [[], [], [], [], [], [], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P149_T001_p149_r0005	P149_T001		149	5	蒸 冬 東 陽 耕 真 文 元 侵 談	蒸 冬 東 陽 耕 真 文 元 侵 談			蒸 | 冬 | 東 | 陽 | 耕 | 真 | 文 | 元 | 侵 | 談					"{""cells"": [""陽聲"", ""蒸"", ""冬"", """", ""東"", ""陽"", ""耕"", ""真"", ""文"", ""元"", ""侵"", ""談""], ""cells_with_img_placeholders"": [""陽聲"", ""蒸"", ""冬"", """", ""東"", ""陽"", ""耕"", ""真"", ""文"", ""元"", ""侵"", ""談""], ""cell_image_map"": [[], [], [], [], [], [], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P151_T001_p151_r0001	P151_T001		151	1	之職 5 幽覺 侯屋 魚鐸 脂質 微物	"之職
5 幽覺 侯屋 魚鐸 脂質 微物"			之職 | 5 | 幽覺 | 侯屋 | 魚鐸 | 脂質 | 微物		5			"{""cells"": [""陰入通韻"", ""之職\n5"", ""幽覺"", ""侯屋"", ""魚鐸"", ""脂質"", ""微物""], ""cells_with_img_placeholders"": [""陰入通韻"", ""之職\n5"", ""幽覺"", ""侯屋"", ""魚鐸"", ""脂質"", ""微物""], ""cell_image_map"": [[], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P151_T001_p151_r0003	P151_T001		151	3	職蒸 3 屋東 鐸陽 質真 物文 月元	"職蒸
3 屋東 鐸陽 質真 物文 月元"			職蒸 | 3 | 屋東 | 鐸陽 | 質真 | 物文 | 月元		3			"{""cells"": [""入陽通韻"", ""職蒸\n3"", ""屋東"", ""鐸陽"", ""質真"", ""物文"", ""月元""], ""cells_with_img_placeholders"": [""入陽通韻"", ""職蒸\n3"", ""屋東"", ""鐸陽"", ""質真"", ""物文"", ""月元""], ""cell_image_map"": [[], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P151_T001_p151_r0005	P151_T001		151	5	之蒸 2 魚陽 歌元	"之蒸
2 魚陽 歌元"			之蒸 | 2 | 魚陽 | 歌元		2			"{""cells"": [""陰陽通韻"", ""之蒸\n2"", ""魚陽"", ""歌元"", """", """", """"], ""cells_with_img_placeholders"": [""陰陽通韻"", ""之蒸\n2"", ""魚陽"", ""歌元"", """", """", """"], ""cell_image_map"": [[], [], [], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": false}"	
ROW_P152_T001_p152_r0001	P152_T001		152	1	之 幽 之 侯 之 魚 幽 宵 幽 魚 幽 微 宵 侯 魚 侯 魚 歌 微 歌	"之
幽 之
侯 之
魚 幽
宵 幽
魚 幽
微 宵
侯 魚
侯 魚
歌 微
歌"			之 | 幽 | 之 | 侯 | 之 | 魚 | 幽 | 宵 | 幽 | 魚 | 幽 | 微 | 宵 | 侯 | 魚 | 侯 | 魚 | 歌 | 微 | 歌					"{""cells"": [""陰\n聲\n合\n韻"", ""之\n幽"", ""之\n侯"", ""之\n魚"", ""幽\n宵"", ""幽\n魚"", ""幽\n微"", ""宵\n侯"", ""魚\n侯"", ""魚\n歌"", ""微\n歌"", """", """", """", """", """"], ""cells_with_img_placeholders"": [""陰\n聲\n合\n韻"", ""之\n幽"", ""之\n侯"", ""之\n魚"", ""幽\n宵"", ""幽\n魚"", ""幽\n微"", ""宵\n侯"", ""魚\n侯"", ""魚\n歌"", ""微\n歌"", """", """", """", """", """"], ""cell_image_map"": [[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P152_T001_p152_r0003	P152_T001		152	3	職 覺 職 緝 覺 藥 鐸 月 月 緝 質 緝	"職
覺 職
緝 覺
藥 鐸
月 月
緝 質
緝"			職 | 覺 | 職 | 緝 | 覺 | 藥 | 鐸 | 月 | 月 | 緝 | 質 | 緝					"{""cells"": [""入\n聲\n合\n韻"", ""職\n覺"", ""職\n緝"", ""覺\n藥"", ""鐸\n月"", ""月\n緝"", ""質\n緝"", """", """", """", """", """", """", """", """", """"], ""cells_with_img_placeholders"": [""入\n聲\n合\n韻"", ""職\n覺"", ""職\n緝"", ""覺\n藥"", ""鐸\n月"", ""月\n緝"", ""質\n緝"", """", """", """", """", """", """", """", """", """"], ""cell_image_map"": [[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P152_T001_p152_r0005	P152_T001		152	5	冬 陽 東 陽 東 耕 東 侵 陽 蒸 陽 耕 陽 真 耕 真 耕 元 耕 真 元 耕 文 真 元 真 文 侵 真 侵 元	"冬
陽 東
陽 東
耕 東
侵 陽
蒸 陽
耕 陽
真 耕
真 耕
元 耕
真
元 耕
文 真
元 真
文 侵
真 侵
元"			冬 | 陽 | 東 | 陽 | 東 | 耕 | 東 | 侵 | 陽 | 蒸 | 陽 | 耕 | 陽 | 真 | 耕 | 真 | 耕 | 元 | 耕 | 真 | 元 | 耕 | 文 | 真 | 元 | 真 | 文 | 侵 | 真 | 侵 | 元					"{""cells"": [""陽\n聲\n合\n韻"", ""冬\n陽"", ""東\n陽"", ""東\n耕"", ""東\n侵"", ""陽\n蒸"", ""陽\n耕"", ""陽\n真"", ""耕\n真"", ""耕\n元"", ""耕\n真\n元"", ""耕\n文"", ""真\n元"", ""真\n文"", ""侵\n真"", ""侵\n元""], ""cells_with_img_placeholders"": [""陽\n聲\n合\n韻"", ""冬\n陽"", ""東\n陽"", ""東\n耕"", ""東\n侵"", ""陽\n蒸"", ""陽\n耕"", ""陽\n真"", ""耕\n真"", ""耕\n元"", ""耕\n真\n元"", ""耕\n文"", ""真\n元"", ""真\n文"", ""侵\n真"", ""侵\n元""], ""cell_image_map"": [[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""has_images"": false}"	
ROW_P152_T001_p152_r0007	P152_T001		152	7	之 真 魚 藥 魚 東 魚 元 魚 月 元 脂 錫 脂 月 脂 元 月 談	"之
真 魚
藥 魚
東 魚
元 魚
月
元 脂
錫 脂
月 脂
元 月
談"			之 | 真 | 魚 | 藥 | 魚 | 東 | 魚 | 元 | 魚 | 月 | 元 | 脂 | 錫 | 脂 | 月 | 脂 | 元 | 月 | 談					"{""cells"": [""混\n合\n合\n韻"", ""之\n真"", ""魚\n藥"", ""魚\n東"", ""魚\n元"", ""魚\n月\n元"", ""脂\n錫"", ""脂\n月"", ""脂\n元"", ""月\n談"", """", """", """", """", """", """"], ""cells_with_img_placeholders"": [""混\n合\n合\n韻"", ""之\n真"", ""魚\n藥"", ""魚\n東"", ""魚\n元"", ""魚\n月\n元"", ""脂\n錫"", ""脂\n月"", ""脂\n元"", ""月\n談"", """", """", """", """", """", """"], ""cell_image_map"": [[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""has_images"": false}"	
